taxon,Minimum elevation,Maximum elevation,Source and Notes
Cinnycerthia fulva,170,3000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cinnycerthia olivascens,2000,3300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cinnycerthia peruana,2400,3350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cinnycerthia unirufa,2200,3200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Circus buffoni,0,690,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Circus cinereus,2700,4200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cissopis leverianus,0,1600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cistothorus platensis,2300,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Claravis pretiosa,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Clypicterus oseryi,67,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cnemarchus erythropygius,3000,4300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cnemoscopus rubrirostris,2000,3100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cnemotriccus fuscatus,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cnipodectes subbrunneus,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cnipodectes superrufus,250,550,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coccycua minuta,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coccyzus lansbergi,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coccyzus melacoryphus,0,2800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cochlearius cochlearius,0,650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coeligena coeligena,1000,2600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coeligena iris,1700,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coeligena lutetiae,2600,2950,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coeligena torquata,1800,3000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coeligena violifer,1900,3900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coereba flaveola,1000,2400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colaptes atricollis,500,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colaptes punctigula,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colaptes rivolii,1900,3700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colaptes rubiginosus,900,2300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colaptes rupicola,2700,4500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Colibri coruscans,400,4500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Colibri delphinae,700,1700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colibri serrirostris,1000,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Colibri thalassinus,1300,3300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Colonia colonus,0,2300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Columba livia,0,4500,"Stotz, D. F., Fitzpatrick, J. W., Parker III, T. A., & Moskovits, D. K. (1996). Neotropical birds: ecology and conservation. The University of Chicago Press"
Columbina buckleyi,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Columbina cruziana,0,2400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Columbina minuta,0,2300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Columbina picui,0,1250,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Columbina talpacoti,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conioptilon mcilhennyi,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conirostrum albifrons,1500,3000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Conirostrum bicolor,0,100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conirostrum cinereum,0,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conirostrum ferrugineiventre,2500,4100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conirostrum sitticolor,2300,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conirostrum speciosum,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conopias cinchoneti,800,1950,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Conopias trivirgatus,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conopophaga ardesiaca,800,2450,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conopophaga aurita,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conopophaga castaneiceps,1000,2200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conopophaga peruviana,36,850,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Conothraupis speculigera,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Contopus cinereus,0,2800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Contopus fumigatus,400,2800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Contopus nigrescens,400,3000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Contopus punensis,0,2800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coragyps atratus,0,2900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Coryphaspiza melanotis,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Coryphospingus cucullatus,0,2200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Corythopis torquatus,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cotinga cayana,0,1350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cotinga maynana,15,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cranioleuca albicapilla,2400,3800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cranioleuca albiceps,2750,3200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cranioleuca antisiensis,850,4400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cranioleuca baroni,1700,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cranioleuca curtata,800,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cranioleuca gutturata,0,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cranioleuca marcapatae,2400,3500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cranioleuca vulpecula,150,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cranioleuca vulpina,0,400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crax globulosa,14,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Creurgops dentatus,1200,2500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Creurgops verticalis,1100,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Crotophaga ani,0,2100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crotophaga major,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crotophaga sulcirostris,0,2750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Crypturellus atrocapillus,155,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crypturellus bartletti,31,350,"McMullan, M., and L. Navarrete. ""Fieldbook of the birds of Ecuador, including the Galapagos Islands."" Fundaci’_n Jocotoco: Quito (2013)."
Crypturellus cinereus,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Crypturellus obsoletus,900,2900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crypturellus parvirostris,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Crypturellus soui,0,1350,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crypturellus tataupa,200,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Crypturellus transfasciatus,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Crypturellus undulatus,0,900,"Stotz, D. F., Fitzpatrick, J. W., Parker III, T. A., & Moskovits, D. K. (1996). Neotropical birds: ecology and conservation. The University of Chicago Press"
Crypturellus variegatus,0,950,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanerpes caeruleus,0,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cyanerpes cyaneus,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cyanerpes nitidus,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cyanocompsa cyanoides,0,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Cyanocorax cyanomelas,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanocorax mystacalis,0,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanocorax violaceus,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanocorax yncas,450,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanolyca turcosa,2400,3000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyanolyca viridicyanus,1800,4000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyclarhis gujanensis,400,3100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cymbilaimus lineatus,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cymbilaimus sanctaemariae,0,1450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyphorhinus arada,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cyphorhinus thoracicus,1200,2700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Cypseloides cryptus,0,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dacnis albiventris,0,400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dacnis cayana,0,2000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dacnis flaviventer,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dacnis lineata,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Damophila julie,0,750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Daptrius ater,0,750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Deconychura longicauda,385,1570,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Deconychura stictolaema,0,750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Delothraupis castaneoventris,1650,3500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dendrexetastes rufigula,0,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendrocincla fuliginosa,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendrocincla merula,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dendrocincla tyrannina,1850,3150,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendrocolaptes certhia,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dendrocolaptes picumnus,0,1350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendrocygna autumnalis,0,1600,"Stotz, D. F., Fitzpatrick, J. W., Parker III, T. A., & Moskovits, D. K. (1996). Neotropical birds: ecology and conservation. The University of Chicago Press"
Dendrocygna bicolor,0,1000,BirdLife International (2014) Species factsheet: Dendrocygna bicolor. Downloaded from http://www.birdlife.org on 12/12/2014. 
Dendrocygna viduata,0,300,"Based on reports from Lima only: Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendroica petechia,0,300,"Inferred from mangroves elevation; Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dendroplex picus,0,1100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Dichrozona cincta,0,900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Diglossa albilatera,1650,3000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa brunneiventris,2400,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa caerulescens,1300,3100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa cyanea,1500,3600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Diglossa glauca,1000,2300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa humeralis,1850,3300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa lafresnayii,2000,3250,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Diglossa mystacalis,2400,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diglossa sittoides,1200,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Diopsittaca nobilis,0,1400,BirdLife International (2015) Species factsheet: Diopsittaca nobilis. Downloaded from http://www.birdlife.org on 28/01/2015.
Discosura conversii,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Discosura langsdorffi,100,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Discosura popelairii,500,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Diuca speculifera,3950,4800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dives warszewiczi,0,3600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Doliornis remseni,3100,3650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Doliornis sclateri,2600,3800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Donacobius atricapilla,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Doryfera johannae,500,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Doryfera ludovicae,800,2850,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Dromococcyx pavoninus,0,900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
